rank,patch_id,name,habitat_class,area_ha,area_pct,degree,confidence,quality,c_before,c_after,delta_connectivity,criticality_score,delta_pct,component_count_before,component_count_after,is_cut_vertex,rank_by_area
1,gulf-of-mannar-p07,Musal Island Shelf,mudflat,835.8,12.310728804571967,1,0.875,0.46,0.0008088937775914736,0.0006338918692728456,0.00017500190831862804,0.21634720548810005,21.634720548810005,9,9,False,1
2,gulf-of-mannar-p04,Poomarichan Meadow,urban,648.8,9.556354209627054,3,0.947,0.527,0.0008088937775914736,0.0006593687877046824,0.0001495249898867912,0.18485120547225645,18.485120547225645,9,9,False,2
3,gulf-of-mannar-p02,Shingle Island,water,599,8.822836269368999,3,0.965,0.619,0.0008088937775914736,0.0006708458908125158,0.00013804788677895786,0.17066256485493453,17.066256485493454,9,9,False,3
4,gulf-of-mannar-p11,Vilanguchalli Shoal,coral,530.1,7.807989159252931,2,0.929,0.73,0.0008088937775914736,0.0006991794962742351,0.0001097142813172385,0.1356349676021973,13.56349676021973,9,9,False,4
5,gulf-of-mannar-p06,Hare Island Bank,coral,253.1,3.7279797325163497,2,0.923,0.563,0.0008088937775914736,0.0007079890938564452,0.00010090468373502842,0.12474404740196883,12.474404740196883,9,10,True,13
6,gulf-of-mannar-p05,Pullivasal Reef,urban,509.5,7.504566075531727,1,0.916,0.42,0.0008088937775914736,0.0007103357013877083,9.85580762037653e-05,0.12184303914072313,12.184303914072313,9,9,False,6
7,gulf-of-mannar-p10,Kariyachalli Reef,mudflat,467.4,6.884463559771402,2,0.838,0.717,0.0008088937775914736,0.0007121564542794998,9.673732331197382e-05,0.11959212197182997,11.959212197182998,9,9,False,7
8,gulf-of-mannar-p12,Nallathanni Meadow,dune,414.6,6.106757791786956,2,0.944,0.422,0.0008088937775914736,0.0007230844189155123,8.580935867596128e-05,0.1060823572304678,10.60823572304678,9,9,False,9
9,gulf-of-mannar-p01,Krusadai Island Reef,water,195.2,2.8751546573970423,3,0.979,0.837,0.0008088937775914736,0.0007639072208314525,4.498655676002112e-05,0.05561491262050637,5.561491262050638,9,9,False,14
10,gulf-of-mannar-p16,Talairi Seagrass Bed,coral,459.2,6.763683497319272,1,0.971,0.405,0.0008088937775914736,0.0007680468945118988,4.084688307957483e-05,0.05049721509936534,5.049721509936535,9,9,False,8
11,gulf-of-mannar-p14,Valimunai Bank,seagrass,511.3,7.53107877216756,0,0.81,0.898,0.0008088937775914736,0.0007705767783125893,3.831699927888429e-05,0.04736963040187464,4.736963040187464,9,8,False,5
12,gulf-of-mannar-p03,Manoli Reef Flat,coral,129.4,1.9059683025982443,3,0.841,0.415,0.0008088937775914736,0.0007790717466245332,2.982203096694037e-05,0.03686767260806126,3.686767260806126,9,9,False,17
13,gulf-of-mannar-p15,Appa Island Reef,seagrass,349.3,5.144936074942556,0,0.834,0.46,0.0008088937775914736,0.0007910109134719676,1.7882864119505974e-05,0.02210780279798072,2.210780279798072,9,8,False,10
14,gulf-of-mannar-p13,Anaipar Reef Flat,mudflat,341.3,5.027101867672186,0,0.888,0.709,0.0008088937775914736,0.0007918206737449363,1.7073103846537317e-05,0.02110673158764237,2.1106731587642367,9,8,False,11
15,gulf-of-mannar-p17,Uppatanni Shoal,coral,147.7,2.1755140517292166,1,0.866,0.602,0.0008088937775914736,0.0007957555270887445,1.3138250502729124e-05,0.016242244490801992,1.6242244490801991,9,9,False,15
16,gulf-of-mannar-p08,Vaan Island Reef,urban,256.4,3.776586343015377,0,0.925,0.9,0.0008088937775914736,0.0007992582400670698,9.63553752440381e-06,0.011911993628006587,1.1911993628006587,9,8,False,12
17,gulf-of-mannar-p09,Koswari Bank,urban,141.1,2.0783008307311612,0,0.813,0.731,0.0008088937775914736,0.0008059757195035443,2.918058087929298e-06,0.0036074675918734084,0.36074675918734084,9,8,False,16
