rank,patch_id,name,habitat_class,area_ha,area_pct,degree,confidence,quality,c_before,c_after,delta_connectivity,criticality_score,delta_pct,component_count_before,component_count_after,is_cut_vertex,rank_by_area
1,kerala-coast-p16,Kothad Mangrove Patch,estuary,263,3.778898515740621,3,0.872,0.507,0.00537557660285566,0.0031831658997894404,0.00219241070306622,0.40784661163633096,40.784661163633096,3,5,True,11
2,kerala-coast-p15,Perumbalam Island,estuary,684.3,9.832320358636148,3,0.912,0.855,0.00537557660285566,0.003262582424120728,0.0021129941787349322,0.39307302915420256,39.30730291542026,3,4,True,2
3,kerala-coast-p02,Pathiramanal Island,mudflat,211.6,3.040360935097777,3,0.846,0.824,0.00537557660285566,0.003516268244875726,0.0018593083579799344,0.34588072970483136,34.58807297048314,3,5,True,12
4,kerala-coast-p03,Vembanad Core Belt,estuary,159.6,2.293202293202293,3,0.857,0.474,0.00537557660285566,0.0039949126287772314,0.0013806639740784289,0.2568401635919355,25.684016359193553,3,4,True,14
5,kerala-coast-p05,Kadamakkudy Cluster,estuary,657.2,9.442935758725232,3,0.933,0.711,0.00537557660285566,0.004041888041721205,0.0013336885611344553,0.24810148932227322,24.81014893222732,3,4,True,3
6,kerala-coast-p14,Muhamma Marsh,saltmarsh,820.6,11.79073810652758,3,0.883,0.635,0.00537557660285566,0.004058288965550404,0.0013172876373052566,0.24505048195303844,24.505048195303843,3,3,False,1
7,kerala-coast-p17,Valanthakad Wetland,seagrass,355.2,5.103668261562999,2,0.888,0.589,0.00537557660285566,0.004334012160270044,0.0010415644425856166,0.1937586457297079,19.37586457297079,3,4,True,9
8,kerala-coast-p12,Chellanam Shoreline,estuary,610.1,8.766182450392977,2,0.866,0.912,0.00537557660285566,0.004522067340481555,0.0008535092623741056,0.15877538828498827,15.877538828498826,3,3,False,4
9,kerala-coast-p18,Nettoor Channel Edge,urban,590.3,8.48168742905585,1,0.892,0.407,0.00537557660285566,0.004628924665985635,0.0007466519368700252,0.13889708807672507,13.889708807672509,3,3,False,6
10,kerala-coast-p01,Kumarakom North Fringe,mangrove,531.7,7.639697113381325,1,0.908,0.713,0.00537557660285566,0.004662201856035223,0.0007133747468204372,0.13270664703047336,13.270664703047338,3,3,False,7
11,kerala-coast-p06,Panangad Channel Bank,mudflat,146.6,2.1064126327284223,4,0.89,0.523,0.00537557660285566,0.004702031756051675,0.0006735448468039853,0.12529722791898806,12.529722791898807,3,5,True,16
12,kerala-coast-p09,Munambam Estuary Mouth,estuary,492.2,7.072143914249177,1,0.85,0.894,0.00537557660285566,0.00475714221279301,0.0006184343900626508,0.11504521947173456,11.504521947173457,3,3,False,8
13,kerala-coast-p07,Puthenvelikkara Mangroves,seagrass,314.4,4.517436096383465,1,0.829,0.883,0.00537557660285566,0.005011208803957409,0.00036436779889825136,0.06778208661461335,6.778208661461335,3,3,False,10
14,kerala-coast-p13,Thanneermukkom Bund North,saltmarsh,157.6,2.2644654223601592,3,0.952,0.765,0.00537557660285566,0.005122585460229157,0.00025299114262650364,0.04706307086985004,4.706307086985004,3,3,False,15
15,kerala-coast-p04,Aroor Backwater Fringe,saltmarsh,172.3,2.4756814230498443,1,0.926,0.895,0.00537557660285566,0.0051793481488941,0.00019622845396156073,0.036503703408731734,3.6503703408731734,3,3,False,13
16,kerala-coast-p10,Vypin Fringe Forest,seagrass,599.5,8.613877034929667,1,0.97,0.771,0.00537557660285566,0.005189149758201221,0.00018642684465443923,0.034680343789613925,3.4680343789613928,3,3,False,5
17,kerala-coast-p11,Kannamali Seagrass Bed,urban,135,1.939738781844045,1,0.908,0.672,0.00537557660285566,0.00533359557862155,4.198102423411034e-05,0.007809585340446794,0.7809585340446794,3,3,False,17
18,kerala-coast-p08,Cherai Sand Spit,mangrove,58.5,0.8405534721324195,0,0.821,0.675,0.00537557660285566,0.00537412770024935,1.448902606310254e-06,0.0002695343613075024,0.02695343613075024,3,2,False,18
