rank,patch_id,name,habitat_class,area_ha,area_pct,degree,confidence,quality,c_before,c_after,delta_connectivity,criticality_score,delta_pct,component_count_before,component_count_after,is_cut_vertex,rank_by_area
1,odisha-coast-p07,Baunsagada Creek,estuary,790.4,9.689243027888446,2,0.893,0.413,0.0019066789951223545,0.0013212372899246508,0.0005854417051977037,0.30704786002015777,30.704786002015773,8,9,True,3
2,odisha-coast-p04,Ekakula Sand Ridge,saltmarsh,566.1,6.939626110940852,3,0.956,0.844,0.0019066789951223545,0.0014441854413206256,0.0004624935538017289,0.24256498077803074,24.256498077803073,8,9,True,7
3,odisha-coast-p06,Kalibhanjadia Island,mangrove,804.6,9.863315966901624,1,0.932,0.529,0.0019066789951223545,0.0014946632306134262,0.00041201576450892834,0.21609078694575362,21.609078694575363,8,8,False,2
4,odisha-coast-p11,Barunei Muhan,mudflat,446.1,5.468587189702728,3,0.944,0.862,0.0019066789951223545,0.001698749882635346,0.00020792911248700857,0.10905302519140903,10.905302519140902,8,9,True,9
5,odisha-coast-p08,Thakurdia Mangroves,estuary,943.5,11.566043518234753,0,0.825,0.592,0.0019066789951223545,0.0017095523808047526,0.00019712661431760194,0.10338741593204158,10.338741593204157,8,7,False,1
6,odisha-coast-p02,Dangmal Block,mudflat,345.2,4.231688630095005,2,0.984,0.942,0.0019066789951223545,0.001740384443794879,0.00016629455132747542,0.08721685808302726,8.721685808302727,8,8,False,11
7,odisha-coast-p03,Habalikhati Dune Belt,estuary,334.9,4.105424456022066,2,0.824,0.493,0.0019066789951223545,0.001745346303234836,0.00016133269188751856,0.08461450107765286,8.461450107765287,8,8,False,12
8,odisha-coast-p13,Rajnagar Buffer,mudflat,441.3,5.409745632853203,2,0.91,0.92,0.0019066789951223545,0.0017639419871681309,0.00014273700795422364,0.0748615830558641,7.48615830558641,8,8,False,10
9,odisha-coast-p10,Suajore Creek Bank,urban,464.6,5.6953723567269385,1,0.882,0.588,0.0019066789951223545,0.0017646431228741496,0.00014203587224820486,0.07449385691642876,7.449385691642877,8,8,False,8
10,odisha-coast-p05,Gahirmatha Rookery Flat,mangrove,788.5,9.665951578302176,0,0.883,0.424,0.0019066789951223545,0.0017690008997956821,0.00013767809532667236,0.07220832435815308,7.220832435815308,8,7,False,4
11,odisha-coast-p15,Praharajpur Fringe,mangrove,640.2,7.8479926448053945,1,0.837,0.507,0.0019066789951223545,0.0017765362974182727,0.00013014269770408177,0.06825621829212541,6.825621829212542,8,8,False,6
12,odisha-coast-p01,Bhitarkanika Core,estuary,665,8.152007355194606,0,0.897,0.456,0.0019066789951223545,0.0018087514777612435,9.792751736111102e-05,0.05136025393452602,5.136025393452601,8,7,False,5
13,odisha-coast-p12,Mahinsamunda Marsh,saltmarsh,263.5,3.2301562978853817,2,0.913,0.538,0.0019066789951223545,0.001821450802065618,8.522819305673652e-05,0.04469981222574244,4.469981222574243,8,8,False,15
14,odisha-coast-p14,Jambu Estuary Mouth,dune,277.8,3.405455102666258,1,0.843,0.779,0.0019066789951223545,0.0018502065780305176,5.647241709183688e-05,0.029618209062093833,2.9618209062093834,8,8,False,14
15,odisha-coast-p16,Batighar Channel Edge,mangrove,330.7,4.053938093778731,0,0.826,0.512,0.0019066789951223545,0.0018824614652718727,2.4217529850481838e-05,0.012701419542793968,1.2701419542793968,8,7,False,13
16,odisha-coast-p09,Kanika Sands,saltmarsh,55.1,0.6754520380018388,0,0.857,0.676,0.0019066789951223545,0.0019060066927378586,6.723023844958705e-07,0.00035260386578744884,0.03526038657874488,8,7,False,16
