rank,patch_id,name,habitat_class,area_ha,area_pct,degree,confidence,quality,c_before,c_after,delta_connectivity,criticality_score,delta_pct,component_count_before,component_count_after,is_cut_vertex,rank_by_area
1,sundarbans-p06,Jhingakhali Forest,estuary,864.6,9.197089609394945,2,0.846,0.471,0.0005514328689550761,0.0004355641819761067,0.00011586868697896941,0.21012292429816865,21.012292429816863,12,12,False,2
2,sundarbans-p04,Panchamukhani Creek,estuary,740.1,7.872734235384224,3,0.886,0.496,0.0005514328689550761,0.00044901379851224277,0.00010241907044283334,0.18573261807354682,18.57326180735468,12,12,False,5
3,sundarbans-p12,Dulibhasani West,saltmarsh,916.5,9.749170283380138,1,0.879,0.716,0.0005514328689550761,0.00046342717522636617,8.800569372870994e-05,0.1595945738517077,15.959457385170769,12,12,False,1
4,sundarbans-p19,Kalash Island,estuary,756.3,8.045059994894052,1,0.874,0.49,0.0005514328689550761,0.0004822185853204064,6.921428363466968e-05,0.12551715273307076,12.551715273307076,12,12,False,3
5,sundarbans-p18,Bhagabatpur Belt,urban,752.5,8.004637903157178,1,0.894,0.558,0.0005514328689550761,0.0004825663498025058,6.886651915257033e-05,0.12488649667015173,12.488649667015173,12,12,False,4
6,sundarbans-p14,Matla Estuary Bank,estuary,666.6,7.090885882052592,1,0.913,0.942,0.0005514328689550761,0.00048742349040673124,6.400937854834487e-05,0.11607827924664309,11.607827924664308,12,12,False,7
7,sundarbans-p07,Bagmara Island,mudflat,460.6,4.899583014211557,3,0.932,0.714,0.0005514328689550761,0.00048769253137100776,6.374033758406835e-05,0.11559038492727411,11.559038492727412,12,12,False,11
8,sundarbans-p11,Gosaba Fringe,saltmarsh,520.9,5.541017785720364,1,0.897,0.874,0.0005514328689550761,0.0005193698236624257,3.2063045292650416e-05,0.05814496577508606,5.8144965775086055,12,12,False,9
9,sundarbans-p13,Chandkhali Mudflat,estuary,493.9,5.2538081865373165,1,0.864,0.527,0.0005514328689550761,0.0005210317592026476,3.0401109752428495e-05,0.05513111652200986,5.513111652200986,12,12,False,10
10,sundarbans-p16,Jharkhali Buffer,water,677.9,7.2110884180069785,0,0.86,0.695,0.0005514328689550761,0.0005235587454265778,2.78741235284983e-05,0.05054853473155794,5.054853473155793,12,11,False,6
11,sundarbans-p03,Pirkhali Compartment,water,216.2,2.299804271976853,2,0.933,0.932,0.0005514328689550761,0.0005252933067905009,2.61395621645752e-05,0.04740298164327365,4.740298164327366,12,12,False,17
12,sundarbans-p15,Bidyadhari Channel,saltmarsh,599.6,6.378180580376139,0,0.977,0.458,0.0005514328689550761,0.0005296260056676469,2.1806863287429255e-05,0.03954581693461912,3.954581693461912,12,11,False,8
13,sundarbans-p02,Netidhopani Block,estuary,377.9,4.0198706493064424,1,0.964,0.471,0.0005514328689550761,0.000536272455867082,1.5160413087994106e-05,0.02749276283933156,2.749276283933156,12,12,False,12
14,sundarbans-p01,Sajnekhali Core,mudflat,283.5,3.015700791422007,1,0.872,0.629,0.0005514328689550761,0.0005400595503246281,1.137331863044805e-05,0.02062502848624101,2.062502848624101,12,12,False,13
15,sundarbans-p10,Khatuajhuri Creek,mudflat,274.3,2.917836779848524,0,0.916,0.655,0.0005514328689550761,0.0005468691218786697,4.563747076406451e-06,0.00827616076831693,0.8276160768316929,12,11,False,14
16,sundarbans-p20,Mayadwip Sand Flat,water,268,2.8508212067058123,0,0.868,0.835,0.0005514328689550761,0.0005470763506759445,4.3565182791315904e-06,0.00790036017872287,0.790036017872287,12,11,False,15
17,sundarbans-p08,Harinbhanga Fringe,mangrove,217.5,2.3136328823078887,1,0.879,0.424,0.0005514328689550761,0.0005473774747430635,4.05539421201263e-06,0.007354284520067325,0.7354284520067325,12,12,False,16
18,sundarbans-p09,Arbesi Block,saltmarsh,89.9,0.9563015913539274,1,0.921,0.834,0.0005514328689550761,0.0005497566393474442,1.676229607631887e-06,0.003039770934961161,0.3039770934961161,12,12,False,19
19,sundarbans-p17,Datta Island,saltmarsh,145,1.5424219215385926,0,0.81,0.808,0.0005514328689550761,0.00055015758775633,1.2752811987460548e-06,0.0023126680880713856,0.23126680880713857,12,11,False,18
20,sundarbans-p05,Chamta Block,saltmarsh,79,0.8403540124244746,0,0.888,0.887,0.0005514328689550761,0.0005510543181840239,3.7855077105223515e-07,0.0006864856855006855,0.06864856855006855,12,11,False,20
