epoch,train_loss,val_loss,val_iou,val_dice,val_precision,val_recall,val_f1,val_accuracy,lr,epoch_time_s
1,1.744047,1.774473,0.008071,0.016013,0.008358,0.190305,0.016013,0.814109,2.995e-04,13.0
2,1.475950,1.480138,0.026529,0.051687,0.056918,0.047336,0.051687,0.986195,2.982e-04,7.9
3,1.335793,1.447544,0.040753,0.078314,0.099528,0.064555,0.078314,0.987923,2.959e-04,7.6
4,1.242740,1.449196,0.021917,0.042895,0.076403,0.029818,0.042895,0.989424,2.927e-04,7.6
5,1.190928,1.454392,0.037147,0.071633,0.078156,0.066115,0.071633,0.986380,2.887e-04,7.9
6,1.155255,1.434597,0.029494,0.057298,0.049975,0.067135,0.057298,0.982442,2.838e-04,8.5
7,1.121080,1.491377,0.036326,0.070105,0.055558,0.094972,0.070105,0.979975,2.781e-04,8.4
8,1.085172,1.543034,0.010925,0.021613,0.042784,0.014459,0.021613,0.989596,2.716e-04,8.3
9,1.077361,1.525258,0.033835,0.065456,0.078331,0.056216,0.065456,0.987242,2.644e-04,8.2
10,1.054640,1.592333,0.041531,0.079750,0.104933,0.064315,0.079750,0.988203,2.565e-04,7.5
11,1.042875,1.677532,0.006888,0.013681,0.071918,0.007559,0.013681,0.991337,2.479e-04,8.2
12,1.027679,1.617324,0.029979,0.058213,0.070054,0.049796,0.058213,0.987194,2.388e-04,8.7
13,1.014034,1.696795,0.042177,0.080940,0.122833,0.060355,0.080940,0.989106,2.291e-04,7.8
14,1.007660,1.666784,0.055956,0.105982,0.133309,0.087953,0.105982,0.988206,2.189e-04,7.7
15,0.990880,1.710133,0.046043,0.088033,0.113565,0.071874,0.088033,0.988164,2.083e-04,7.9
16,0.984812,1.767748,0.039426,0.075860,0.157965,0.049916,0.075860,0.990334,1.974e-04,8.3
17,0.971331,1.722492,0.053537,0.101634,0.142011,0.079134,0.101634,0.988881,1.862e-04,10.0
18,0.952578,1.810964,0.034616,0.066915,0.128009,0.045296,0.066915,0.989960,1.747e-04,12.7
19,0.943726,1.750455,0.054208,0.102841,0.143827,0.080034,0.102841,0.988902,1.632e-04,11.0
20,0.925308,1.877466,0.037645,0.072558,0.172290,0.045956,0.072558,0.990663,1.515e-04,10.8
21,0.920775,1.849151,0.052661,0.100052,0.184084,0.068695,0.100052,0.990178,1.398e-04,12.8
22,0.896339,1.831425,0.067405,0.126297,0.210711,0.090173,0.126297,0.990084,1.283e-04,10.6
23,0.908463,1.869250,0.063048,0.118617,0.183671,0.087593,0.118617,0.989654,1.168e-04,9.3
24,0.889744,1.906917,0.057046,0.107935,0.175493,0.077934,0.107935,0.989761,1.056e-04,9.5
25,0.873717,2.006403,0.036430,0.070299,0.218809,0.041877,0.070299,0.991197,9.467e-05,8.8
26,0.878593,1.997884,0.042348,0.081255,0.221836,0.049736,0.081255,0.991061,8.408e-05,9.3
27,0.854475,2.012105,0.042395,0.081342,0.232007,0.049316,0.081342,0.991147,7.391e-05,9.0
28,0.867062,2.040662,0.041284,0.079294,0.234929,0.047696,0.079294,0.991197,6.421e-05,8.6
29,0.852998,2.010982,0.052458,0.099687,0.203666,0.065995,0.099687,0.990526,5.506e-05,8.5
30,0.844253,2.070871,0.040098,0.077105,0.236090,0.046076,0.077105,0.991233,4.649e-05,8.7
31,0.806236,2.097990,0.036588,0.070593,0.250091,0.041097,0.070593,0.991399,3.858e-05,9.3
32,0.832084,2.093664,0.044458,0.085131,0.223926,0.052556,0.085131,0.991022,3.136e-05,9.1
33,0.807162,2.107597,0.039185,0.075416,0.256170,0.044216,0.075416,0.991383,2.488e-05,9.7
34,0.794880,2.113074,0.041340,0.079397,0.261745,0.046796,0.079397,0.991375,1.919e-05,8.8
